date,year,quarter,hosr,FEDFUNDS,MSPUS,GDPC1,PAYEMS,CPIAUCSL,UNRATE,UMCSENT,DSPIC96,PERMIT,ICSA,SP500
1989-01-01,1989,Q1,64.0,9.443333333333333,118000.0,9107.314,107403.0,121.66666666666667,5.2,95.86666666666667,6677.766666666666,1354.3333333333333,305166.6666666667,290.6385493225807
1989-04-01,1989,Q2,63.9,9.726666666666667,118900.0,9176.827,107910.33333333333,123.63333333333333,5.233333333333333,90.93333333333334,6658.166666666667,1359.6666666666667,322230.76923076925,313.648280125
1989-07-01,1989,Q3,63.9,9.083333333333334,120000.0,9244.816,108186.0,124.60000000000001,5.233333333333333,92.46666666666665,6702.400000000001,1310.3333333333333,337571.4285714286,342.1761915238095
1989-10-01,1989,Q4,63.7,8.613333333333333,124800.0,9263.033,108688.0,125.86666666666667,5.366666666666667,91.76666666666667,6759.166666666667,1377.0,352000.0,345.3774593333333
1990-01-01,1990,Q1,64.1,8.25,123900.0,9364.259,109426.0,128.03333333333333,5.3,91.26666666666667,6811.0,1441.0,354076.92307692306,336.57476322222226
1990-04-01,1990,Q2,63.9,8.243333333333332,126800.0,9398.243,109793.66666666667,129.29999999999998,5.333333333333333,90.93333333333334,6858.433333333333,1103.6666666666667,360000.0,349.79650784126983
1990-07-01,1990,Q3,63.9,8.16,117000.0,9404.494,109652.66666666667,131.53333333333333,5.7,79.13333333333334,6856.133333333334,1041.0,382692.3076923077,335.8817453809524
1990-10-01,1990,Q4,64.0,7.743333333333332,121500.0,9318.876,109249.0,133.76666666666665,6.133333333333333,65.13333333333334,6797.533333333333,909.0,443307.6923076923,316.562033078125
1991-01-01,1991,Q1,64.0,6.426666666666667,120000.0,9275.276,108787.66666666667,134.76666666666668,6.6000000000000005,74.96666666666667,6814.533333333333,850.0,476000.0,352.28295096721314
1991-04-01,1991,Q2,64.1,5.863333333333333,119900.0,9347.597,108315.66666666667,135.56666666666666,6.833333333333333,80.73333333333333,6864.366666666666,957.0,446153.8461538461,378.665936921875
1991-07-01,1991,Q3,64.1,5.6433333333333335,120000.0,9394.834,108312.66666666667,136.6,6.866666666666667,82.63333333333334,6892.366666666666,963.6666666666666,425307.6923076923,385.55984257812503
1991-10-01,1991,Q4,64.1,4.816666666666666,120000.0,9427.581,108327.0,137.73333333333332,7.1000000000000005,71.86666666666666,6949.666666666667,1012.0,441923.07692307694,387.116094046875
1992-01-01,1992,Q1,64.1,4.023333333333333,119500.0,9540.444,108348.33333333333,138.66666666666666,7.366666666666667,70.76666666666667,7089.533333333333,1101.6666666666667,437307.6923076923,411.9719039047619
1992-04-01,1992,Q2,64.1,3.7699999999999996,120000.0,9643.893,108627.66666666667,139.73333333333332,7.6000000000000005,78.93333333333334,7159.866666666666,1055.6666666666667,418076.92307692306,410.0615888888889
1992-07-01,1992,Q3,64.1,3.2566666666666664,120000.0,9739.185,108892.33333333333,140.79999999999998,7.633333333333333,76.1,7193.099999999999,1092.6666666666667,421153.8461538461,417.11906240625
1992-10-01,1992,Q4,64.3,3.0366666666666666,126000.0,9840.753,109302.0,142.03333333333333,7.366666666666667,83.2,7225.7,1142.0,361076.92307692306,423.687655921875
1993-01-01,1993,Q1,63.9,3.0399999999999996,125000.0,9857.185,109944.0,143.0666666666667,7.133333333333333,87.26666666666667,7252.866666666666,1127.0,345000.0,442.7503209677419
1993-04-01,1993,Q2,64.0,3.0,127000.0,9914.565,110537.66666666667,144.1,7.066666666666666,82.46666666666665,7275.333333333333,1115.3333333333333,346769.23076923075,445.5058724444445
1993-07-01,1993,Q3,64.0,3.06,127000.0,9961.873,111236.33333333333,144.76666666666668,6.8,77.39999999999999,7281.633333333334,1218.3333333333333,344153.8461538461,453.55874831250003
1993-10-01,1993,Q4,64.1,2.99,127000.0,10097.362,112010.33333333333,145.96666666666667,6.633333333333333,84.03333333333335,7332.166666666667,1368.3333333333333,338846.1538461539,464.271874453125
1994-01-01,1994,Q1,64.0,3.2133333333333334,130000.0,10195.338,112872.66666666667,146.70000000000002,6.566666666666666,93.0,7380.666666666667,1333.6666666666667,348692.3076923077,469.2134922857143
1994-04-01,1994,Q2,63.9,3.94,130000.0,10333.495,113915.0,147.53333333333333,6.2,92.2,7454.966666666667,1381.6666666666667,347384.6153846154,451.1685490483871
1994-07-01,1994,Q3,63.9,4.486666666666667,129700.0,10393.898,114917.66666666667,148.9,6.0,90.73333333333333,7498.466666666667,1374.6666666666667,336692.3076923077,461.120780875
1994-10-01,1994,Q4,64.1,5.166666666666667,132000.0,10512.962,115830.66666666667,149.76666666666668,5.633333333333333,93.13333333333333,7606.066666666667,1377.6666666666667,328214.28571428574,460.00523785714284
1995-01-01,1995,Q1,64.4,5.81,130000.0,10550.251,116701.66666666667,150.86666666666667,5.466666666666666,94.33333333333333,7671.033333333333,1254.0,337166.6666666667,480.46571566666665
1995-04-01,1995,Q2,64.7,6.02,133900.0,10581.723,117134.66666666667,152.1,5.666666666666667,91.66666666666667,7692.833333333333,1278.3333333333333,361307.6923076923,524.4428565079365
1995-07-01,1995,Q3,64.8,5.796666666666667,132000.0,10671.738,117629.66666666667,152.86666666666667,5.666666666666667,93.16666666666667,7763.333333333333,1387.0,363714.28571428574,564.7963470476191
1995-10-01,1995,Q4,65.1,5.72,138000.0,10744.203,118175.33333333333,153.70000000000002,5.566666666666666,89.8,7808.733333333334,1424.0,370692.3076923077,597.1714283968254
1996-01-01,1996,Q1,65.3,5.363333333333333,137000.0,10824.674,118682.66666666667,155.06666666666666,5.533333333333334,90.5,7882.633333333334,1414.6666666666667,379769.23076923075,636.4547641428571
1996-04-01,1996,Q2,65.4,5.243333333333333,139900.0,11005.217,119471.0,156.4,5.5,91.5,7954.866666666666,1449.6666666666667,348153.8461538461,658.8520605079366
1996-07-01,1996,Q3,65.4,5.306666666666667,140000.0,11103.935,120208.0,157.29999999999998,5.266666666666667,94.89999999999999,8019.3,1418.3333333333333,336769.23076923075,660.097969921875
1996-10-01,1996,Q4,65.4,5.28,144100.0,11219.238,120923.0,158.66666666666666,5.333333333333333,97.53333333333335,8062.033333333333,1393.6666666666667,342461.53846153844,725.860781671875
1997-01-01,1997,Q1,65.5,5.276666666666666,145000.0,11291.665,121676.0,159.63333333333333,5.233333333333333,99.03333333333335,8138.766666666666,1421.0,325846.1538461539,784.7406576393444
1997-04-01,1997,Q2,65.7,5.523333333333333,145800.0,11479.33,122548.66666666667,160.0,5.0,103.03333333333335,8210.933333333334,1412.3333333333333,325307.6923076923,823.489846234375
